Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
fbpa__dram_read_throughput                                                  FBPA read throughput                                                                                
gpu__dram_throughput                                                        GPU DRAM throughput                                                                                 
l1tex__throughput_internal_activity                                         L1TEX Throughput, internal activity                                                                 
sm__memory_throughput                                                       SM memory instruction throughput assuming ideal load balancing across SMSPs                         
lts__throughput                                                             LTS throughput                                                                                      
gpu__compute_memory_access_throughput                                       Compute Memory Pipeline : throughput of internal activity within caches and DRAM                    
gpu__compute_memory_request_throughput_internal_activity                    Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM, internal activity 
fbpa__dram_write_throughput                                                 FBPA write throughput                                                                               
dram__throughput                                                            DRAM throughput                                                                                     
lts__throughput_internal_activity                                           LTS throughput, internal activity                                                                   
gpu__compute_memory_request_throughput                                      Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM                    
gpu__compute_memory_throughput                                              Compute Memory Pipeline Throughput                                                                  
sm__instruction_throughput                                                  SM core instruction throughput assuming ideal load balancing across SMSPs                           
gpu__compute_memory_access_throughput_internal_activity                     Compute Memory Pipeline : throughput of internal activity within caches and DRAM, internal activity 
sm__throughput                                                              SM throughput assuming ideal load balancing across SMSPs                                            
fbpa__throughput                                                            FBPA throughput                                                                                     
sm__instruction_throughput_internal_activity                                SM core instruction throughput assuming ideal load balancing across SMSPs, internal activity        
l1tex__throughput                                                           L1TEX Throughput                                                                                    
sm__memory_throughput_internal_activity                                     SM memory instruction throughput assuming ideal load balancing across SMSPs, internal activity      
l1tex__data_pipe_lsu_wavefronts_mem_lg_cmd_read                             # of local/global read wavefronts processed by Data-Stage                                           
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_lookup_miss                 # of LTS sectors from unit L1 accessing peer memory (peermem) for all atomics that missed           
lts__t_requests_aperture_peer_op_read                                       # of LTS requests accessing peer memory (peermem) for reads                                         
smsp__inst_executed_op_generic_atom_dot_cas_pred_off_all                    # of warp instructions executed with all threads predicated off: ATOM.CAS, ATOMG.CAS                
lts__t_requests_op_atom                                                     # of LTS requests for all atomics                                                                   
l1tex__t_sectors_pipe_tex_mem_texture_op_ld_lookup_miss                     # of sector requests to T-Stage that missed for TLD instructions                                    
lts__t_requests_srcunit_l1_aperture_device_op_atom_dot_alu                  # of LTS requests from unit L1 accessing device memory (vidmem) for atomic ALU (non-CAS)            
l1tex__t_bytes_pipe_tex_mem_surface_lookup_miss                             # of bytes requested that missed for surface                                                        
lts__t_requests_srcunit_tex_op_atom                                         # of LTS requests from unit TEX for all atomics                                                     
l1tex__t_sectors_pipe_tex_mem_surface_op_ld                                 # of sectors requested for surface loads                                                            
dram__sectors_read                                                          # of sectors read from DRAM                                                                         
l1tex__data_pipe_tex_wavefronts_realtime                                    # of texture + surface read wavefronts processed by Data-Stage                                      
lts__t_requests_aperture_peer_lookup_hit                                    # of LTS requests accessing peer memory (peermem) that hit                                          
lts__t_sectors_op_write_lookup_hit                                          # of LTS sectors for writes that hit                                                                
smsp__warps_issue_stalled_tex_throttle                                      cumulative # of warps waiting for a free entry in the TEX instruction queue                         
lts__t_sectors_op_membar                                                    # of LTS sectors for memory barriers                                                                
lts__t_requests_srcunit_tex_aperture_device                                 # of LTS requests from unit TEX accessing device memory (vidmem)                                    
l1tex__t_sectors_pipe_lsu_mem_global_op_atom                                # of sectors requested for global atomics                                                           
l1tex__t_sectors_pipe_lsu_mem_global_op_ld                                  # of sectors requested for global loads                                                             
l1tex__tex_writeback_active                                                 # of cycles where texture/surface writeback interface was active                                    
lts__t_bytes_equiv_l1sectormiss                                             # of bytes requested                                                                                
fbpa__cycles_active                                                         # of cycles where FBPA                                                                              
smsp__inst_executed_pipe_tensor_op_imma                                     # of warp instructions executed by tensor_op_imma pipe                                              
lts__t_sectors_aperture_sysmem_op_membar_lookup_miss                        # of LTS sectors accessing system memory (sysmem) for memory barriers that missed                   
fbpa__dram_write_bytes                                                      # of DRAM write bytes                                                                               
lts__t_sectors_srcunit_l1_aperture_device_op_read                           # of LTS sectors from unit L1 accessing device memory (vidmem) for reads                            
lts__t_requests_srcunit_tex_aperture_peer_op_membar_lookup_miss             # of LTS requests from unit TEX accessing peer memory (peermem) for memory barriers that missed     
gpu__dispatch_count                                                         # of compute dispatches sent to GPU                                                                 
lts__t_sectors_op_atom                                                      # of LTS sectors for all atomics                                                                    
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas                    # of LTS sectors from unit TEX accessing peer memory (peermem) for atomic CAS                       
smsp__sass_inst_executed_op_local_ld                                        # of warp instructions executed: LDL, LD                                                            
lts__t_requests_srcunit_l1_aperture_sysmem_op_red_lookup_hit                # of LTS requests from unit L1 accessing system memory (sysmem) for reductions that hit             
l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_hit                      # of sector requests to T-Stage with tag-hit and data-hit for global reductions                     
l1tex__t_set_conflicts                                                      # of extra cycles spent on set conflicts                                                            
lts__t_sectors_aperture_peer_op_atom_dot_alu_lookup_hit                     # of LTS sectors accessing peer memory (peermem) for atomic ALU (non-CAS) that hit                  
gr__cycles_idle                                                             # of cycles where GR was idle                                                                       
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_lookup_hit                # of LTS sectors from unit L1 accessing system memory (sysmem) for all atomics that hit             
lts__t_requests_srcunit_l1_aperture_peer_op_red_lookup_hit                  # of LTS requests from unit L1 accessing peer memory (peermem) for reductions that hit              
lts__t_sectors_op_membar_lookup_hit                                         # of LTS sectors for memory barriers that hit                                                       
smsp__inst_executed_op_ldc_pred_off_all                                     # of warp instructions executed with all threads predicated off: LDC                                
sm__inst_executed_pipe_adu                                                  # of warp instructions executed by adu pipe                                                         
dram__cycles_in_frame                                                       # of cycles in user-defined frame                                                                   
lts__t_requests_srcunit_l1_aperture_peer_op_write_lookup_miss               # of LTS requests from unit L1 accessing peer memory (peermem) for writes that missed               
smsp__inst_executed_pipe_cbu_pred_on_any                                    # of warp instructions executed by cbu with at least 1 thread predicated on                         
lts__t_requests_srcunit_l1_op_membar_lookup_miss                            # of LTS requests from unit L1 for memory barriers that missed                                      
lts__t_sectors_lookup_miss                                                  # of LTS sectors that missed                                                                        
lts__t_requests_aperture_device_op_write                                    # of LTS requests accessing device memory (vidmem) for writes                                       
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st                        # of data bank conflicts generated by shared stores                                                 
lts__t_sectors_srcunit_l1_aperture_peer_op_red_lookup_miss                  # of LTS sectors from unit L1 accessing peer memory (peermem) for reductions that missed            
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface_op_atom                 # of sectors requested for surface atomics                                                          
l1tex__t_bytes_pipe_tex_lookup_hit                                          # of bytes requested with tag-hit and data-hit for TEX pipe                                         
l1tex__t_bytes_pipe_lsu_lookup_hit                                          # of bytes requested with tag-hit and data-hit for LSU pipe local/global                            
lts__t_requests_aperture_peer_op_membar_lookup_hit                          # of LTS requests accessing peer memory (peermem) for memory barriers that hit                      
idc__request_cycles_active                                                  # of cycles where IDC processed requests from SM                                                    
lts__t_requests_srcunit_l1_aperture_device_op_write_lookup_hit              # of LTS requests from unit L1 accessing device memory (vidmem) for writes that hit                 
lts__t_sectors_aperture_peer_lookup_miss                                    # of LTS sectors accessing peer memory (peermem) that missed                                        
lts__t_sectors_srcunit_tex_aperture_device_op_atom_lookup_hit               # of LTS sectors from unit TEX accessing device memory (vidmem) for all atomics that hit            
lts__t_sectors_srcunit_l1_aperture_peer_op_membar                           # of LTS sectors from unit L1 accessing peer memory (peermem) for memory barriers                   
l1tex__t_sectors_pipe_tex_mem_texture_op_ld                                 # of sectors requested for TLD instructions                                                         
smsp__inst_executed_pipe_cbu_pred_off_all                                   # of warp instructions executed by cbu with all threads predicated off                              
l1tex__t_bytes_pipe_lsu_mem_global_op_red_lookup_hit                        # of bytes requested with tag-hit and data-hit for global reductions                                
l1tex__t_bytes_pipe_tex_mem_surface                                         # of bytes requested for surface                                                                    
fbpa__cycles_elapsed                                                        # of cycles elapsed on FBPA                                                                         
lts__t_requests_srcunit_tex_aperture_device_op_write                        # of LTS requests from unit TEX accessing device memory (vidmem) for writes                         
lts__t_requests_srcunit_l1_aperture_sysmem_op_membar                        # of LTS requests from unit L1 accessing system memory (sysmem) for memory barriers                 
lts__t_requests_srcunit_l1_op_atom_dot_alu                                  # of LTS requests from unit L1 for atomic ALU (non-CAS)                                             
lts__t_sectors_aperture_peer_op_red_lookup_miss                             # of LTS sectors accessing peer memory (peermem) for reductions that missed                         
lts__t_sectors_srcunit_l1_aperture_sysmem_lookup_hit                        # of LTS sectors from unit L1 accessing system memory (sysmem) that hit                             
smsp__inst_executed_op_generic_st_pred_off_all                              # of warp instructions executed with all threads predicated off: ST                                 
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_alu_lookup_miss      # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic ALU (non-CAS) that missed
lts__t_requests_aperture_sysmem_op_membar_lookup_miss                       # of LTS requests accessing system memory (sysmem) for memory barriers that missed                  
l1tex__t_set_conflicts_pipe_lsu_mem_global_op_ld                            # of extra cycles spent on set conflicts for global loads                                           
sm__cycles_active                                                           # of cycles with at least one warp in flight                                                        
l1tex__texin_requests_mem_surface_op_null                                   # of requests sent to TEXIN for null surface instructions                                           
l1tex__t_sectors_pipe_tex_mem_surface_lookup_hit                            # of sector requests to T-Stage with tag-hit and data-hit for surface                               
sm__inst_executed_pipe_tensor_op_imma                                       # of warp instructions executed by tensor_op_imma pipe                                              
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_local_op_ld                    # of bytes requested for local loads                                                                
smsp__warps_eligible                                                        cumulative # of warps eligible to issue an instruction                                              
lts__t_requests_srcunit_tex_op_write_lookup_miss                            # of LTS requests from unit TEX for writes that missed                                              
lts__t_sectors_aperture_device_op_atom_lookup_miss                          # of LTS sectors accessing device memory (vidmem) for all atomics that missed                       
